tree_size,kv_len,bsz,verifiertime_ms,verifiertime_std_ms,attn_implementation,model_name
16,512,1,78.65090093022445,0.1270176736134713,flex_attention,qwen/qwen3-4b
16,1024,1,115.9570836785133,0.24964680487240762,flex_attention,qwen/qwen3-4b
16,2048,1,189.76452378788963,0.30650962468695414,flex_attention,qwen/qwen3-4b
24,512,1,79.01513239950873,0.13301489693995372,flex_attention,qwen/qwen3-4b
24,1024,1,116.78242001129547,0.22865989738543158,flex_attention,qwen/qwen3-4b
24,2048,1,190.51677710871445,0.3019916376066403,flex_attention,qwen/qwen3-4b
32,512,1,79.50008146843174,0.1179455975891961,flex_attention,qwen/qwen3-4b
32,1024,1,117.80262027896242,0.23746248236492243,flex_attention,qwen/qwen3-4b
32,2048,1,191.63448158971732,0.34206847190356904,flex_attention,qwen/qwen3-4b
64,512,1,82.06977782130707,0.12629035348380765,flex_attention,qwen/qwen3-4b
64,1024,1,122.12242802925175,0.20626673977438026,flex_attention,qwen/qwen3-4b
64,2048,1,195.70915416930802,0.2930912751553683,flex_attention,qwen/qwen3-4b
128,512,1,36.58866393758217,0.19320149808731854,flex_attention,qwen/qwen3-4b
128,1024,1,36.314255811157636,0.20784993932792,flex_attention,qwen/qwen3-4b
128,2048,1,36.17835846031085,0.21549520242785536,flex_attention,qwen/qwen3-4b
16,512,2,36.900504450604785,0.605056347090619,flex_attention,qwen/qwen3-4b
16,1024,2,36.70064691978041,0.13573570486122194,flex_attention,qwen/qwen3-4b
16,2048,2,36.65278791915625,0.16666875733545403,flex_attention,qwen/qwen3-4b
24,512,2,36.62720346968854,0.2394021005868788,flex_attention,qwen/qwen3-4b
24,1024,2,36.466844099632,0.12476175775987515,flex_attention,qwen/qwen3-4b
24,2048,2,36.566191239107866,0.3837458947693112,flex_attention,qwen/qwen3-4b
32,512,2,36.83630217186874,0.1270053754852011,flex_attention,qwen/qwen3-4b
32,1024,2,36.86970286013093,0.13174920391523928,flex_attention,qwen/qwen3-4b
32,2048,2,36.82936890021665,0.13386802926225003,flex_attention,qwen/qwen3-4b
64,512,2,36.89580258971546,0.12871771269258636,flex_attention,qwen/qwen3-4b
64,1024,2,36.79428764851764,0.134993155072896,flex_attention,qwen/qwen3-4b
64,2048,2,36.81077937129885,0.13287033330489934,flex_attention,qwen/qwen3-4b
128,512,2,36.937793149554636,0.3391751959170778,flex_attention,qwen/qwen3-4b
128,1024,2,36.85819684120361,0.13416893889767018,flex_attention,qwen/qwen3-4b
128,2048,2,36.99179063056363,0.14064173529743773,flex_attention,qwen/qwen3-4b
16,512,4,36.93800279957941,0.13796475747920078,flex_attention,qwen/qwen3-4b
16,1024,4,36.90593453036854,0.14923673928911765,flex_attention,qwen/qwen3-4b
16,2048,4,36.92246216960484,0.20874246637115806,flex_attention,qwen/qwen3-4b
24,512,4,36.939469229546376,0.1351757673768526,flex_attention,qwen/qwen3-4b
24,1024,4,36.568397191003896,0.22965841911789078,flex_attention,qwen/qwen3-4b
24,2048,4,36.48166449042037,0.1141294513407106,flex_attention,qwen/qwen3-4b
32,512,4,36.808262310223654,0.17387998246430902,flex_attention,qwen/qwen3-4b
32,1024,4,36.89914068963844,0.11524554282984817,flex_attention,qwen/qwen3-4b
32,2048,4,36.90948916104389,0.11440149553973508,flex_attention,qwen/qwen3-4b
64,512,4,36.91407568054274,0.19606064656011662,flex_attention,qwen/qwen3-4b
64,1024,4,36.96336641180096,0.1331906624023299,flex_attention,qwen/qwen3-4b
64,2048,4,39.77580846694764,0.14049196785316914,flex_attention,qwen/qwen3-4b
128,512,4,42.38203573098872,0.2177947728260098,flex_attention,qwen/qwen3-4b
128,1024,4,45.46134056232404,0.20320678687815108,flex_attention,qwen/qwen3-4b
128,2048,4,51.47966638876824,0.19308795001579926,flex_attention,qwen/qwen3-4b
16,512,8,36.930493957479484,0.17032250294039072,flex_attention,qwen/qwen3-4b
16,1024,8,36.888515949831344,0.1338555853420126,flex_attention,qwen/qwen3-4b
16,2048,8,44.70697895856574,0.021588190971876375,flex_attention,qwen/qwen3-4b
24,512,8,36.778070359141566,0.10169458122214418,flex_attention,qwen/qwen3-4b
24,1024,8,36.820618970377836,0.1547145628739338,flex_attention,qwen/qwen3-4b
24,2048,8,47.9380420508096,0.01582753845785216,flex_attention,qwen/qwen3-4b
32,512,8,36.902203299687244,0.14912387379383454,flex_attention,qwen/qwen3-4b
32,1024,8,37.674889589543454,0.024403694095659848,flex_attention,qwen/qwen3-4b
32,2048,8,49.65889414132107,0.03104915539097439,flex_attention,qwen/qwen3-4b
64,512,8,45.730469249538146,0.21509127574239498,flex_attention,qwen/qwen3-4b
64,1024,8,51.771335369558074,0.1713833750584996,flex_attention,qwen/qwen3-4b
64,2048,8,63.568188029457815,0.23565133205680475,flex_attention,qwen/qwen3-4b
128,512,8,70.29081407003105,0.21439879580396773,flex_attention,qwen/qwen3-4b
128,1024,8,75.59381486906204,0.5509184110429703,flex_attention,qwen/qwen3-4b
128,2048,8,86.05817815085175,0.6435924612467577,flex_attention,qwen/qwen3-4b
16,512,16,37.35414821916493,0.11228718657262367,flex_attention,qwen/qwen3-4b
16,1024,16,48.023212978441734,0.14413992836958683,flex_attention,qwen/qwen3-4b
16,2048,16,69.94258727849228,0.24186398253668345,flex_attention,qwen/qwen3-4b
24,512,16,46.427953669044655,0.21378348690015606,flex_attention,qwen/qwen3-4b
24,1024,16,57.255355191009585,0.15319100783164252,flex_attention,qwen/qwen3-4b
24,2048,16,78.93235137918964,0.15051380614175705,flex_attention,qwen/qwen3-4b
32,512,16,51.4477099510259,0.22049124667470482,flex_attention,qwen/qwen3-4b
32,1024,16,62.40991674072575,0.25048429783901577,flex_attention,qwen/qwen3-4b
32,2048,16,84.01200539985439,0.2970610566738517,flex_attention,qwen/qwen3-4b
64,512,16,76.4443274892983,0.601529572431964,flex_attention,qwen/qwen3-4b
64,1024,16,87.45185318897711,0.5696767107795807,flex_attention,qwen/qwen3-4b
64,2048,16,109.14129533048254,0.5951117084709263,flex_attention,qwen/qwen3-4b
128,512,16,136.31760541087715,31.850888392332717,flex_attention,qwen/qwen3-4b
128,1024,16,142.7628926394391,0.7239248862873199,flex_attention,qwen/qwen3-4b
128,2048,16,162.404699990293,0.7065573945779978,flex_attention,qwen/qwen3-4b
16,512,1,82.6057243408286,0.29094533320746746,flex_attention,qwen/qwen3-8b
16,1024,1,119.68266013864195,0.32780670300109493,flex_attention,qwen/qwen3-8b
16,2048,1,193.359594430367,0.5141275563059661,flex_attention,qwen/qwen3-8b
24,512,1,83.53114010038553,0.11658209934125849,flex_attention,qwen/qwen3-8b
24,1024,1,121.48326338035986,0.22461872407012023,flex_attention,qwen/qwen3-8b
24,2048,1,195.01813814946217,0.2818528633296966,flex_attention,qwen/qwen3-8b
32,512,1,84.04102231143042,0.10728919826090495,flex_attention,qwen/qwen3-8b
32,1024,1,122.34275486960541,0.2103947083334821,flex_attention,qwen/qwen3-8b
32,2048,1,196.2289885795326,0.3227118211155939,flex_attention,qwen/qwen3-8b
64,512,1,86.56067107978743,0.09052494897494097,flex_attention,qwen/qwen3-8b
64,1024,1,126.63580502819968,0.2081273280507859,flex_attention,qwen/qwen3-8b
64,2048,1,200.22010200977093,0.26108970793358033,flex_attention,qwen/qwen3-8b
128,512,1,37.442352330253925,0.16781006500172746,flex_attention,qwen/qwen3-8b
128,1024,1,37.342612650827505,0.11911809665172346,flex_attention,qwen/qwen3-8b
128,2048,1,37.19557954900665,0.12742241970638776,flex_attention,qwen/qwen3-8b
16,512,2,37.286273408390116,0.11844077668065733,flex_attention,qwen/qwen3-8b
16,1024,2,37.2835681392462,0.21682092799828692,flex_attention,qwen/qwen3-8b
16,2048,2,37.22795426903758,0.13318263052211698,flex_attention,qwen/qwen3-8b
24,512,2,37.19232816161821,0.09771956332018897,flex_attention,qwen/qwen3-8b
24,1024,2,37.23465375835076,0.18951718171750478,flex_attention,qwen/qwen3-8b
24,2048,2,37.13234434952028,0.1274464819547605,flex_attention,qwen/qwen3-8b
32,512,2,37.22941551968688,0.14511943606356703,flex_attention,qwen/qwen3-8b
32,1024,2,37.20147746033035,0.12063372993269822,flex_attention,qwen/qwen3-8b
32,2048,2,37.149390029662754,0.193708461435146,flex_attention,qwen/qwen3-8b
64,512,2,37.79036673979135,0.1240415962709099,flex_attention,qwen/qwen3-8b
64,1024,2,37.26321206049761,0.16527922324128425,flex_attention,qwen/qwen3-8b
64,2048,2,37.32152516779024,0.24515112207032516,flex_attention,qwen/qwen3-8b
128,512,2,37.6837385102408,0.06729597887695625,flex_attention,qwen/qwen3-8b
128,1024,2,37.82984878285788,0.1852153109373832,flex_attention,qwen/qwen3-8b
128,2048,2,40.63862890179735,0.1555621099990066,flex_attention,qwen/qwen3-8b
16,512,4,37.11060598085169,0.11760220479205301,flex_attention,qwen/qwen3-8b
